,pid,lab,ml,ap,dv,phi,theta,depth
101,bfda40f8-a7a7-47cd-a439-39fb5cd7873f,danlab,4654.000,10758.000,5849.000,-162.850,9.246,4583.999
102,3bc030ba-c070-4443-a981-54ea9896b7a1,churchlandlab_ucla,4866.000,8473.000,4305.000,159.402,23.929,4190.147
103,c6ba6f8e-c13e-410f-b7df-e193ba0d239d,danlab,4018.000,9886.000,4585.000,169.277,11.002,3830.143
104,b90f00e8-ac5c-4530-9fbd-d0e055e3a718,angelakilab,7769.000,12204.000,5842.000,162.692,6.684,4447.716
105,07abb39b-063b-4ef8-b3ab-963c6a1b5cc5,danlab,4959.000,9028.000,5056.000,170.420,11.949,4810.128
106,fdee56fb-6cf4-4376-8194-ff0c6ae90c58,wittenlab,5139.000,9229.000,5289.000,9.254,17.590,5233.560
107,c2184312-2421-492b-bbee-e8c8e982e49e,danlab,5540.000,9852.000,5395.000,179.875,9.237,4301.204
108,bebe7c8f-0f34-4c3a-8fbb-d2a5119d2961,danlab,4137.000,6720.000,3654.000,156.250,20.882,3081.762
109,f703e521-7cd1-440a-a22d-71eb253e6c42,zadorlab,2980.000,9606.000,3691.000,11.150,21.419,3507.963
110,99993a2b-588e-4c0c-bfec-e3dfb4f61534,angelakilab,4343.000,2849.000,5907.000,-153.190,12.209,4201.565
111,f8249eab-d4c2-4fb0-a258-7f4b99fa19e4,angelakilab,3244.000,4631.000,6441.000,145.531,15.071,4288.588
112,220bca21-4cf8-43f1-a213-71645899c571,churchlandlab,3561.000,7824.000,4598.000,169.559,7.719,4059.546
113,ce99545f-c6a5-4d53-8b68-0ceb78bd942e,danlab,7416.000,12098.000,6354.000,66.072,17.530,4986.003
114,f8ef3dfc-f789-43a1-9015-c82ffa8e7df0,zadorlab,2775.000,10031.000,5210.000,-3.905,3.832,4119.477
115,3bd1f88b-4e0c-43a6-9483-3305e82f2fae,zadorlab,4049.000,10301.000,4852.000,160.308,17.838,3941.926
116,0aafb6f1-6c10-4886-8f03-543988e02d9e,steinmetzlab,4603.000,8126.000,4185.000,157.629,20.429,3958.974
117,3c15054d-9a26-40cc-af3b-d11b1cfe2212,zadorlab,6085.000,12031.000,7213.000,18.480,9.185,6040.677
118,68c98fb2-402b-4670-9b3b-0c77619998ea,zadorlab,2883.000,9421.000,5417.000,38.509,11.891,5152.109
119,03d2d8d1-a116-4763-8425-4ef7b1c1bd35,zadorlab,2833.000,4365.000,6444.000,65.849,7.335,4631.854
120,baf6ed8a-6c44-459f-8582-2be8d0e0bbc4,hoferlab,5322.000,7374.000,3766.000,170.287,11.701,3615.879
121,1841cf1f-725d-499e-ab8e-7f6fc8c308b6,churchlandlab,2284.000,8852.000,5948.000,34.155,8.595,5383.291
122,366dabe3-2790-4511-a7dc-023a1ad9df75,wittenlab,7580.000,10744.000,6358.000,-67.318,8.644,5090.508
123,749cb2b7-e57e-4453-a794-f6230e4d0226,mrsicflogellab,5197.000,3685.000,5361.000,146.890,18.006,3928.600
124,bdd57835-38b0-46ff-acda-45e14b8d6293,churchlandlab,3672.000,8044.000,6448.000,67.066,9.009,6199.014
125,06d42449-d6ac-4c35-8f85-24ecfbc08bc1,wittenlab,3070.000,6544.000,5746.000,104.211,9.535,4786.925
126,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,hoferlab,4734.000,7152.000,4155.000,179.909,19.233,3897.965
127,6eb8be8d-d089-43c6-b2e4-a6558ca16dcf,mainenlab,5663.000,5989.000,4343.000,179.185,14.763,3973.973
128,b9a637fe-0f2a-4426-a0b6-1d4ecd154a93,hoferlab,5087.000,4534.000,5014.000,135.753,23.354,3827.387
129,af775340-53d0-43cd-9cda-48e32b95adca,danlab,4253.000,6062.000,4366.000,153.700,22.018,3576.421
130,63517fd4-ece1-49eb-9259-371dc30b1dd6,danlab,3911.000,7230.000,4982.000,-174.288,9.751,4471.570
